,Week Day,Day,New Infected,Total Infected,New Recovered,Total Recovered,New Death,Total Death,Active Cases
0,Sunday,1,6,15,0,0,0,0,15
1,Monday,2,0,15,0,0,0,0,0
2,Tuesday,3,1,16,0,0,0,0,16
3,Wednesday,4,1,17,0,0,0,0,17
4,Thursday,5,0,17,0,0,0,0,0
5,Friday,6,1,18,0,0,0,0,18
6,Saturday,7,0,18,0,0,0,0,0
7,Sunday,8,0,18,0,0,0,0,0
8,Monday,9,0,18,0,0,0,0,0
9,Tuesday,10,0,18,0,0,0,0,0
10,Wednesday,11,0,18,0,0,0,0,0
11,Thursday,12,0,18,0,0,0,0,0
12,Friday,13,0,18,0,0,0,0,0
13,Saturday,14,0,18,0,0,0,0,0
14,Sunday,15,0,18,0,0,0,0,0
15,Monday,16,2,20,0,0,0,0,20
16,Tuesday,17,0,20,0,0,0,0,0
17,Wednesday,18,1,21,0,0,0,0,21
18,Thursday,19,1,22,0,0,0,0,22
19,Friday,20,3,25,0,0,0,0,25
20,Saturday,21,0,25,0,0,0,0,0
21,Sunday,22,0,25,0,0,0,0,0
22,Monday,23,0,25,0,0,0,0,0
23,Tuesday,24,0,25,0,0,0,0,0
24,Wednesday,25,0,25,0,0,0,0,0
25,Thursday,26,0,25,0,0,0,0,0
26,Friday,27,0,25,0,0,0,0,0
27,Saturday,28,0,25,0,0,0,0,0
28,Sunday,29,0,25,0,0,0,0,0
29,Monday,30,0,25,0,0,0,0,0
30,Tuesday,31,0,25,0,0,0,0,0
31,Wednesday,32,0,25,0,0,0,0,0
32,Thursday,33,0,25,0,0,0,0,0
33,Friday,34,0,25,0,0,0,0,0
34,Saturday,35,0,25,0,0,0,0,0
35,Sunday,36,0,25,0,0,0,0,0
36,Monday,37,0,25,0,0,0,0,0
37,Tuesday,38,0,25,0,0,0,0,0
38,Wednesday,39,0,25,0,0,0,0,0
39,Thursday,40,0,25,0,0,0,0,0
40,Friday,41,0,25,0,0,0,0,0
41,Saturday,42,0,25,0,0,0,0,0
42,Sunday,43,0,25,0,0,0,0,0
43,Monday,44,0,25,0,0,0,0,0
44,Tuesday,45,0,25,0,0,0,0,0
45,Wednesday,46,0,25,0,0,0,0,0
46,Thursday,47,0,25,0,0,0,0,0
47,Friday,48,0,25,0,0,0,0,0
48,Saturday,49,0,25,0,0,0,0,0
49,Sunday,50,0,25,0,0,0,0,0
50,Monday,51,0,25,0,0,0,0,0
51,Tuesday,52,0,25,0,0,0,0,0
52,Wednesday,53,0,25,0,0,0,0,0
53,Thursday,54,0,25,0,0,0,0,0
54,Friday,55,0,25,0,0,0,0,0
55,Saturday,56,0,25,0,0,0,0,0
56,Sunday,57,0,25,0,0,0,0,0
57,Monday,58,0,25,0,0,0,0,0
58,Tuesday,59,0,25,0,0,0,0,0
59,Wednesday,60,1,26,0,0,0,0,26
60,Thursday,61,1,27,0,0,0,0,27
61,Friday,62,0,27,0,0,0,0,0
62,Saturday,63,1,28,0,0,0,0,28
63,Sunday,64,0,28,0,0,0,0,0
64,Monday,65,0,28,0,0,0,0,0
65,Tuesday,66,0,28,0,0,0,0,0
66,Wednesday,67,0,28,0,0,0,0,0
67,Thursday,68,0,28,0,0,0,0,0
68,Friday,69,0,28,0,0,0,0,0
69,Saturday,70,1,29,0,0,0,0,29
70,Sunday,71,0,29,0,0,0,0,0
71,Monday,72,0,29,0,0,0,0,0
72,Tuesday,73,0,29,0,0,0,0,0
73,Wednesday,74,0,29,0,0,0,0,0
74,Thursday,75,0,29,0,0,0,0,0
75,Friday,76,0,29,0,0,0,0,0
76,Saturday,77,0,29,0,0,0,0,0
77,Sunday,78,0,29,0,0,0,0,0
78,Monday,79,0,29,0,0,0,0,0
79,Tuesday,80,0,29,0,0,0,0,0
80,Wednesday,81,0,29,0,0,0,0,0
81,Thursday,82,0,29,0,0,0,0,0
82,Friday,83,0,29,0,0,0,0,0
83,Saturday,84,0,29,0,0,0,0,0
84,Sunday,85,0,29,0,0,0,0,0
85,Monday,86,0,29,0,0,0,0,0
86,Tuesday,87,0,29,0,0,0,0,0
87,Wednesday,88,0,29,0,0,0,0,0
88,Thursday,89,0,29,0,0,0,0,0
89,Friday,90,0,29,0,0,0,0,0
90,Saturday,91,0,29,0,0,0,0,0
91,Sunday,92,0,29,0,0,0,0,0
92,Monday,93,0,29,0,0,0,0,0
93,Tuesday,94,0,29,0,0,0,0,0
94,Wednesday,95,0,29,0,0,0,0,0
95,Thursday,96,0,29,0,0,0,0,0
96,Friday,97,2,31,0,0,0,0,31
97,Saturday,98,0,31,0,0,0,0,0
98,Sunday,99,0,31,0,0,0,0,0
99,Monday,100,0,31,0,0,0,0,0
100,Tuesday,101,0,31,0,0,0,0,0
101,Wednesday,102,2,33,0,0,0,0,33
102,Thursday,103,1,34,0,0,0,0,34
103,Friday,104,0,34,0,0,0,0,0
104,Saturday,105,0,34,0,0,0,0,0
105,Sunday,106,0,34,0,0,0,0,0
106,Monday,107,0,34,0,0,0,0,0
107,Tuesday,108,0,34,0,0,0,0,0
108,Wednesday,109,0,34,0,0,0,0,0
109,Thursday,110,0,34,0,0,0,0,0
110,Friday,111,0,34,0,0,0,0,0
111,Saturday,112,0,34,0,0,0,0,0
112,Sunday,113,0,34,0,0,0,0,0
113,Monday,114,0,34,0,0,0,0,0
114,Tuesday,115,0,34,0,0,0,0,0
115,Wednesday,116,0,34,0,0,0,0,0
116,Thursday,117,0,34,0,0,0,0,0
117,Friday,118,0,34,0,0,0,0,0
118,Saturday,119,0,34,0,0,0,0,0
119,Sunday,120,1,35,0,0,0,0,35
120,Monday,121,0,35,0,0,0,0,0
121,Tuesday,122,0,35,0,0,0,0,0
122,Wednesday,123,0,35,0,0,0,0,0
123,Thursday,124,0,35,0,0,0,0,0
124,Friday,125,0,35,0,0,0,0,0
125,Saturday,126,0,35,0,0,0,0,0
126,Sunday,127,0,35,0,0,0,0,0
127,Monday,128,0,35,0,0,0,0,0
128,Tuesday,129,0,35,0,0,0,0,0
129,Wednesday,130,0,35,0,0,0,0,0
130,Thursday,131,0,35,0,0,0,0,0
131,Friday,132,0,35,0,0,0,0,0
132,Saturday,133,0,35,0,0,0,0,0
133,Sunday,134,0,35,0,0,0,0,0
134,Monday,135,0,35,0,0,0,0,0
135,Tuesday,136,0,35,0,0,0,0,0
136,Wednesday,137,0,35,0,0,0,0,0
137,Thursday,138,0,35,0,0,0,0,0
138,Friday,139,0,35,0,0,0,0,0
139,Saturday,140,0,35,0,0,0,0,0
140,Sunday,141,0,35,0,0,0,0,0
141,Monday,142,0,35,0,0,0,0,0
142,Tuesday,143,0,35,0,0,0,0,0
143,Wednesday,144,0,35,0,0,0,0,0
144,Thursday,145,0,35,0,0,0,0,0
145,Friday,146,0,35,0,0,0,0,0
146,Saturday,147,0,35,0,0,0,0,0
147,Sunday,148,0,35,0,0,0,0,0
148,Monday,149,0,35,0,0,0,0,0
149,Tuesday,150,0,35,0,0,0,0,0
150,Wednesday,151,0,35,0,0,0,0,0
151,Thursday,152,0,35,0,0,0,0,0
152,Friday,153,0,35,0,0,0,0,0
153,Saturday,154,0,35,0,0,0,0,0
154,Sunday,155,0,35,0,0,0,0,0
155,Monday,156,0,35,0,0,0,0,0
156,Tuesday,157,0,35,0,0,0,0,0
157,Wednesday,158,0,35,0,0,0,0,0
158,Thursday,159,0,35,0,0,0,0,0
159,Friday,160,0,35,0,0,0,0,0
160,Saturday,161,0,35,0,0,0,0,0
161,Sunday,162,0,35,0,0,0,0,0
162,Monday,163,0,35,0,0,0,0,0
163,Tuesday,164,0,35,0,0,0,0,0
164,Wednesday,165,0,35,0,0,0,0,0
165,Thursday,166,0,35,0,0,0,0,0
166,Friday,167,0,35,0,0,0,0,0
167,Saturday,168,0,35,0,0,0,0,0
168,Sunday,169,1,36,0,0,0,0,36
169,Monday,170,2,38,0,0,0,0,38
170,Tuesday,171,0,38,0,0,0,0,0
171,Wednesday,172,0,38,0,0,0,0,0
172,Thursday,173,0,38,0,0,0,0,0
173,Friday,174,0,38,0,0,0,0,0
174,Saturday,175,0,38,0,0,0,0,0
175,Sunday,176,0,38,0,0,0,0,0
176,Monday,177,0,38,0,0,0,0,0
177,Tuesday,178,0,38,0,0,0,0,0
178,Wednesday,179,0,38,0,0,0,0,0
179,Thursday,180,0,38,0,0,0,0,0
180,Friday,181,0,38,0,0,0,0,0
181,Saturday,182,0,38,0,0,0,0,0
182,Sunday,183,0,38,0,0,0,0,0
183,Monday,184,0,38,0,0,0,0,0
184,Tuesday,185,0,38,0,0,0,0,0
185,Wednesday,186,1,39,0,0,0,0,39
186,Thursday,187,1,40,0,0,0,0,40
187,Friday,188,0,40,0,0,0,0,0
188,Saturday,189,0,40,0,0,0,0,0
189,Sunday,190,0,40,0,0,0,0,0
190,Monday,191,0,40,0,0,0,0,0
191,Tuesday,192,0,40,0,0,0,0,0
192,Wednesday,193,1,41,0,0,0,0,41
193,Thursday,194,0,41,0,0,0,0,0
194,Friday,195,0,41,0,0,0,0,0
195,Saturday,196,0,41,0,0,0,0,0
196,Sunday,197,0,41,0,0,0,0,0
197,Monday,198,0,41,0,0,0,0,0
198,Tuesday,199,0,41,0,0,0,0,0
199,Wednesday,200,0,41,0,0,0,0,0
200,Thursday,201,0,41,0,0,0,0,0
