,Week Day,Day,New Infected,Total Infected,New Recovered,Total Recovered,New Death,Total Death,Active Cases
0,Monday,1,7,22,0,0,0,0,22
1,Tuesday,2,1,23,0,0,0,0,23
2,Wednesday,3,3,26,0,0,0,0,26
3,Thursday,4,0,26,0,0,0,0,0
4,Friday,5,0,26,0,0,0,0,0
5,Saturday,6,2,28,0,0,0,0,28
6,Sunday,7,2,30,0,0,0,0,30
7,Monday,8,0,30,0,0,0,0,0
8,Tuesday,9,0,30,0,0,0,0,0
9,Wednesday,10,0,30,0,0,0,0,0
10,Thursday,11,0,30,0,0,0,0,0
11,Friday,12,0,30,0,0,0,0,0
12,Saturday,13,0,30,0,0,0,0,0
13,Sunday,14,0,30,0,0,0,0,0
14,Monday,15,0,30,0,0,0,0,0
15,Tuesday,16,0,30,0,0,0,0,0
16,Wednesday,17,0,30,0,0,0,0,0
17,Thursday,18,0,30,0,0,0,0,0
18,Friday,19,0,30,0,0,0,0,0
19,Saturday,20,0,30,0,0,0,0,0
20,Sunday,21,1,31,0,0,0,0,31
21,Monday,22,0,31,0,0,0,0,0
22,Tuesday,23,0,31,0,0,0,0,0
23,Wednesday,24,2,33,0,0,0,0,33
24,Thursday,25,0,33,0,0,0,0,0
25,Friday,26,1,34,0,0,0,0,34
26,Saturday,27,0,34,0,0,0,0,0
27,Sunday,28,0,34,0,0,0,0,0
28,Monday,29,0,34,0,0,0,0,0
29,Tuesday,30,0,34,0,0,0,0,0
30,Wednesday,31,0,34,0,0,0,0,0
31,Thursday,32,0,34,0,0,0,0,0
32,Friday,33,0,34,0,0,0,0,0
33,Saturday,34,0,34,0,0,0,0,0
34,Sunday,35,0,34,0,0,0,0,0
35,Monday,36,0,34,0,0,0,0,0
36,Tuesday,37,0,34,0,0,0,0,0
37,Wednesday,38,0,34,0,0,0,0,0
38,Thursday,39,1,35,0,0,0,0,35
39,Friday,40,2,37,0,0,0,0,37
40,Saturday,41,0,37,0,0,0,0,0
41,Sunday,42,0,37,0,0,0,0,0
42,Monday,43,0,37,0,0,0,0,0
43,Tuesday,44,0,37,0,0,0,0,0
44,Wednesday,45,0,37,0,0,0,0,0
45,Thursday,46,0,37,0,0,0,0,0
46,Friday,47,0,37,0,0,0,0,0
47,Saturday,48,0,37,0,0,0,0,0
48,Sunday,49,0,37,0,0,0,0,0
49,Monday,50,0,37,0,0,0,0,0
50,Tuesday,51,0,37,0,0,0,0,0
51,Wednesday,52,0,37,0,0,0,0,0
52,Thursday,53,0,37,0,0,0,0,0
53,Friday,54,0,37,0,0,0,0,0
54,Saturday,55,0,37,0,0,0,0,0
55,Sunday,56,0,37,0,0,0,0,0
56,Monday,57,0,37,0,0,0,0,0
